sheepX,sheepY,wolfX,wolfY
0,100,0,50
1,101,1,53
2,101,2,53
3,105,3,55
4,105,4,55
5,108,5,59
6,110,6,61
7,113,7,63
8,120,8,60
9,125,9,60
10,132,10,63
11,133,11,63
12,137,12,62
13,138,13,57
14,145,14,57
15,149,15,57
16,153,16,52
17,162,17,53
18,168,18,53
19,173,19,50
20,180,20,52
21,179,21,49
22,184,22,52
23,187,23,52
24,197,24,51
25,198,25,50
26,208,26,45
27,213,27,50
28,216,28,53
29,223,29,53
30,229,30,49
31,231,31,55
32,233,32,53
33,239,33,53
34,241,34,53
35,245,35,60
36,256,36,62
37,259,37,64
38,266,38,68
39,267,39,72
40,263,40,66
41,265,41,70
42,272,42,70
43,278,43,75
44,279,44,70
45,276,45,69
46,291,46,72
47,298,47,76
48,300,48,82
49,305,49,82
50,310,50,83
51,310,51,86
52,311,52,91
53,311,53,90
54,315,54,93
55,321,55,90
56,327,56,91
57,323,57,90
58,328,58,93
59,323,59,91
60,329,60,97
61,326,61,99
62,335,62,103
63,341,63,104
64,345,64,106
65,347,65,107
66,351,66,111
67,351,67,116
68,356,68,117
69,362,69,120
70,365,70,126
71,376,71,132
72,382,72,140
73,382,73,143
74,381,74,155
75,386,75,167
76,385,76,168
77,374,77,173
78,368,78,176
79,361,79,176
80,361,80,180
81,359,81,186
82,355,82,187
83,348,83,191
84,330,84,198
85,323,85,204
86,317,86,208
87,308,87,215
88,299,88,224
89,294,89,226
90,287,90,239
91,278,91,242
92,264,92,248
93,256,93,256
94,249,94,254
95,234,95,264
96,224,96,263
97,217,97,275
98,207,98,277
99,192,99,285
100,184,100,299
101,171,101,312
102,161,102,310
103,150,103,320
104,150,104,325
105,145,105,337
106,131,106,344
107,118,107,355
108,107,108,357
109,100,109,357
110,98,110,368
111,92,111,370
112,82,112,363
113,78,113,374
114,66,114,374
115,65,115,380
116,58,116,383
117,59,117,379
118,54,118,362
119,46,119,359
120,42,120,346
121,39,121,334
122,38,122,323
123,33,123,310
124,32,124,300
125,30,125,291
126,28,126,288
127,30,127,265
128,32,128,260
129,33,129,261
130,30,130,241
131,30,131,235
132,26,132,232
133,25,133,232
134,20,134,236
135,19,135,228
136,18,136,212
137,17,137,195
138,15,138,180
139,15,139,158
140,16,140,154
141,18,141,141
142,17,142,124
143,16,143,123
144,16,144,123
145,16,145,121
146,16,146,107
147,17,147,103
148,18,148,98
149,18,149,99
150,18,150,98
151,19,151,95
152,20,152,89
153,21,153,86
154,20,154,88
155,20,155,73
156,20,156,63
157,20,157,56
158,21,158,48
159,20,159,44
160,20,160,39
161,21,161,35
162,21,162,32
163,22,163,33
164,23,164,30
165,22,165,29
166,22,166,30
167,22,167,26
168,23,168,26
169,23,169,23
170,23,170,21
171,23,171,21
172,23,172,19
173,25,173,17
174,25,174,18
175,25,175,15
176,26,176,12
177,28,177,12
178,29,178,11
179,30,179,11
180,30,180,11
181,31,181,11
182,33,182,11
183,33,183,7
184,32,184,7
185,32,185,5
186,34,186,5
187,37,187,4
188,42,188,4
189,42,189,4
190,44,190,4
191,45,191,4
192,48,192,5
193,50,193,5
194,52,194,5
195,55,195,3
196,55,196,3
197,57,197,2
198,59,198,2
199,63,199,1
200,67,200,1
201,68,201,1
202,74,202,1
203,75,203,2
204,77,204,2
205,82,205,2
206,83,206,3
207,86,207,4
208,86,208,4
209,90,209,4
210,91,210,4
211,92,211,4
212,96,212,4
213,98,213,4
214,105,214,4
215,109,215,5
216,113,216,5
217,119,217,3
218,126,218,3
219,127,219,3
220,134,220,3
221,140,221,3
222,148,222,3
223,154,223,3
224,156,224,3
225,160,225,3
226,166,226,3
227,173,227,3
228,174,228,3
229,185,229,3
230,195,230,3
231,207,231,4
232,218,232,2
233,228,233,2
234,233,234,2
235,250,235,2
236,258,236,2
237,273,237,2
238,288,238,2
239,301,239,2
240,314,240,2
241,322,241,2
242,336,242,2
243,354,243,2
244,365,244,2
245,375,245,3
246,395,246,3
247,406,247,3
248,422,248,3
249,439,249,3
250,456,250,3
251,475,251,3
252,499,252,3
253,528,253,3
254,550,254,3
255,574,255,5
256,595,256,6
257,619,257,6
258,647,258,7
259,669,259,8
260,694,260,8
261,718,261,8
262,750,262,8
263,764,263,9
264,793,264,9
265,826,265,9
266,850,266,10
267,895,267,11
268,931,268,10
269,959,269,10
270,993,270,11
271,1027,271,11
272,1061,272,11
273,1095,273,12
274,1133,274,12
275,1170,275,12
276,1219,276,13
277,1271,277,13
278,1321,278,13
279,1384,279,14
280,1426,280,16
281,1476,281,17
282,1534,282,18
283,1579,283,19
284,1651,284,19
285,1714,285,20
286,1777,286,20
287,1832,287,22
288,1890,288,23
289,1945,289,23
290,2014,290,25
291,2083,291,28
292,2155,292,30
293,2203,293,31
294,2273,294,32
295,2349,295,34
296,2421,296,34
297,2499,297,35
298,2580,298,38
299,2666,299,40
300,2740,300,43
301,2817,301,45
302,2888,302,47
303,2991,303,49
304,3078,304,51
305,3175,305,53
306,3264,306,57
307,3358,307,58
308,3448,308,62
309,3554,309,66
310,3645,310,71
311,3756,311,76
312,3838,312,80
313,3951,313,81
314,4035,314,91
315,4128,315,99
316,4197,316,103
317,4276,317,106
318,4350,318,109
319,4417,319,120
320,4466,320,130
321,4514,321,136
322,4594,322,147
323,4675,323,158
324,4728,324,165
325,4782,325,175
326,4834,326,181
327,4911,327,186
328,4963,328,195
329,4998,329,204
330,5033,330,210
331,5072,331,217
332,5089,332,230
333,5089,333,237
334,5076,334,251
335,5076,335,270
336,5081,336,279
337,5047,337,295
338,5026,338,310
339,4966,339,332
340,4910,340,350
341,4828,341,373
342,4753,342,398
343,4621,343,412
344,4498,344,435
345,4329,345,457
346,4178,346,477
347,3997,347,501
348,3796,348,530
349,3592,349,557
350,3367,350,581
351,3126,351,611
352,2879,352,641
353,2624,353,664
354,2383,354,702
355,2156,355,746
356,1925,356,781
357,1679,357,823
358,1421,358,873
359,1182,359,915
360,978,360,961
361,767,361,1015
362,589,362,1061
363,446,363,1117
364,350,364,1178
365,274,365,1228
366,198,366,1283
367,150,367,1354
368,92,368,1429
369,55,369,1506
370,33,370,1572
371,18,371,1645
372,11,372,1728
373,6,373,1805
374,2,374,1881
375,1,375,1951
376,0,376,2034
377,0,377,2094
378,0,378,2179
379,0,379,2251
380,0,380,2339
381,0,381,2421
382,0,382,2493
383,0,383,2571
384,0,384,2663
385,0,385,2728
386,0,386,2825
387,0,387,2887
388,0,388,2958
389,0,389,3013
390,0,390,3047
391,0,391,3063
392,0,392,3127
393,0,393,3161
394,0,394,3225
395,0,395,3293
396,0,396,3316
397,0,397,3346
398,0,398,3386
399,0,399,3411
400,0,400,3437
401,0,401,3447
402,0,402,3451
403,0,403,3445
404,0,404,3433
405,0,405,3346
406,0,406,3290
407,0,407,3285
408,0,408,3253
409,0,409,3201
410,0,410,3159
411,0,411,3111
412,0,412,3047
413,0,413,3010
414,0,414,2943
415,0,415,2905
416,0,416,2897
417,0,417,2839
418,0,418,2769
419,0,419,2737
420,0,420,2709
421,0,421,2658
422,0,422,2603
423,0,423,2520
424,0,424,2451
425,0,425,2407
426,0,426,2338
427,0,427,2312
428,0,428,2251
429,0,429,2170
430,0,430,2120
431,0,431,2094
432,0,432,2046
433,0,433,1989
434,0,434,1923
435,0,435,1862
436,0,436,1837
437,0,437,1779
438,0,438,1714
439,0,439,1677
440,0,440,1627
441,0,441,1597
442,0,442,1518
443,0,443,1464
444,0,444,1421
445,0,445,1351
446,0,446,1300
447,0,447,1243
448,0,448,1188
449,0,449,1133
450,0,450,1090
451,0,451,1020
452,0,452,990
453,0,453,975
454,0,454,935
455,0,455,891
456,0,456,868
457,0,457,856
458,0,458,820
459,0,459,792
460,0,460,766
461,0,461,759
462,0,462,715
463,0,463,702
464,0,464,674
465,0,465,655
466,0,466,625
467,0,467,577
468,0,468,548
469,0,469,507
470,0,470,477
471,0,471,465
472,0,472,447
473,0,473,441
474,0,474,417
475,0,475,397
476,0,476,383
477,0,477,371
478,0,478,364
479,0,479,351
480,0,480,341
481,0,481,334
482,0,482,321
483,0,483,312
484,0,484,306
485,0,485,285
486,0,486,279
487,0,487,274
488,0,488,252
489,0,489,241
490,0,490,242
491,0,491,236
492,0,492,224
493,0,493,207
494,0,494,208
495,0,495,204
496,0,496,202
497,0,497,188
498,0,498,189
499,0,499,164
500,0,500,156
501,0,501,153
502,0,502,157
503,0,503,145
504,0,504,134
505,0,505,136
506,0,506,128
507,0,507,123
508,0,508,118
509,0,509,114
510,0,510,109
511,0,511,106
512,0,512,101
513,0,513,93
514,0,514,91
515,0,515,87
516,0,516,80
517,0,517,75
518,0,518,64
519,0,519,58
520,0,520,57
521,0,521,57
522,0,522,52
523,0,523,48
524,0,524,50
525,0,525,50
526,0,526,46
527,0,527,38
528,0,528,34
529,0,529,28
530,0,530,28
531,0,531,29
532,0,532,29
533,0,533,25
534,0,534,24
535,0,535,25
536,0,536,26
537,0,537,25
538,0,538,24
539,0,539,20
540,0,540,20
541,0,541,19
542,0,542,19
543,0,543,15
544,0,544,13
545,0,545,14
546,0,546,15
547,0,547,16
548,0,548,12
549,0,549,12
550,0,550,11
551,0,551,10
552,0,552,10
553,0,553,8
554,0,554,6
555,0,555,6
556,0,556,5
557,0,557,3
558,0,558,4
559,0,559,5
560,0,560,3
561,0,561,2
562,0,562,2
563,0,563,2
564,0,564,3
565,0,565,3
566,0,566,3
567,0,567,3
568,0,568,3
569,0,569,4
570,0,570,4
571,0,571,4
572,0,572,4
573,0,573,4
574,0,574,4
575,0,575,4
576,0,576,4
577,0,577,4
578,0,578,5
579,0,579,5
580,0,580,5
581,0,581,5
582,0,582,5
583,0,583,7
584,0,584,6
585,0,585,5
586,0,586,3
587,0,587,2
588,0,588,2
589,0,589,2
590,0,590,2
591,0,591,2
592,0,592,2
593,0,593,0
